5.863725417645683507e+20,6.808966943873548943e+20
5.863600864968489042e+20,6.808818465823334072e+20
5.809433820450290401e+20,6.746024916956395602e+20
5.752052683541776957e+20,6.679136610865758863e+20
5.691121443489500365e+20,6.607735557211008532e+20
5.626496899899059077e+20,6.531409395151263498e+20
5.557527086355647037e+20,6.449009706781544284e+20
5.482917569810116116e+20,6.358410652340243661e+20
5.400486567349237842e+20,6.256102942555221524e+20
5.306859545845972337e+20,6.136685072623400387e+20
5.197090638115792486e+20,5.992284187446183199e+20
5.064350205692535112e+20,5.823810506729508045e+20
4.899882969425615258e+20,5.641523793374478336e+20
4.705099470792074199e+20,5.445177404932751360e+20
4.493006668465711350e+20,5.235613655272133755e+20
4.269151026862610186e+20,5.015440761895570637e+20
4.042459173025428275e+20,4.789279136545767424e+20
3.823185592199455703e+20,4.563301173618267914e+20
3.619284767226535608e+20,4.343918169395099075e+20
3.434437335270880707e+20,4.136277245669136138e+20
3.268755534479454372e+20,3.943392647597229343e+20
3.120497738433859420e+20,3.766227723287170908e+20
2.987435017162268344e+20,3.604413036832028099e+20
2.867441530903073915e+20,3.456886723882159964e+20
2.756119936832613908e+20,3.322274834707497615e+20
2.650046619624784527e+20,3.199169642580766884e+20
2.548668656872209777e+20,3.082395878211421471e+20
2.451494522896808673e+20,2.967510810935804559e+20
2.357981322837250540e+20,2.854029600106532045e+20
2.267570856630346056e+20,2.741484821340403794e+20
2.179715655446392996e+20,2.629304376747255398e+20
2.093910119858474844e+20,2.517789796395888148e+20
2.009704065825714995e+20,2.408212995337313321e+20
1.927104530222531215e+20,2.301800148938826711e+20
1.846588437212587622e+20,2.199544512024496046e+20
1.768686015283262915e+20,2.102145901755168195e+20
1.693915178391704699e+20,2.010016678971724268e+20
1.622727517953673134e+20,1.923331006316003983e+20
1.555451128238896579e+20,1.842076921101497139e+20
1.492251727639913431e+20,1.766108760027755971e+20
1.433127293055328584e+20,1.695186213833413755e+20
1.377935591660972933e+20,1.629004937699902095e+20
1.326443087187106857e+20,1.567229096795633091e+20
1.278367425047717478e+20,1.509510189915066860e+20
1.233311725525642772e+20,1.455503586133593293e+20
1.190840318133492777e+20,1.404881279142414254e+20
1.150599599931774730e+20,1.357237505170415288e+20
1.112304225662848205e+20,1.312141519542298870e+20
1.075720219252322468e+20,1.269240335045083791e+20
1.040655913833243607e+20,1.228244912062060298e+20
1.006952100121909658e+20,1.188913885800699003e+20
