7.301564553548835755e+32,6.206776031843794089e+32,6.223555922220045142e+32,7.470285722640613893e+32
7.301558363848639328e+32,6.206771002712384492e+32,6.223550119376110991e+32,7.470277985515368360e+32
6.518141936812328382e+32,5.514472765411411684e+32,5.600130479004714465e+32,6.680495451827032345e+32
5.847598174564222472e+32,4.942920104692236654e+32,5.016170564241801712e+32,5.991124555862707185e+32
5.244763155908568160e+32,4.428633389621616486e+32,4.493653482191245149e+32,5.372045442754055023e+32
4.704212382335721819e+32,3.967847735055074517e+32,4.025375969249452969e+32,4.817039011228715931e+32
4.218847815145430902e+32,3.554337076307529837e+32,3.605258579254747125e+32,4.318808765323889422e+32
3.783373392107127639e+32,3.183678872588635426e+32,3.228713970649050730e+32,3.871792098844299095e+32
3.392481058446113686e+32,2.851195257974941651e+32,2.890987873397114509e+32,3.470697204978262226e+32
3.041786185285745138e+32,2.553152295822953987e+32,2.588277490440758683e+32,3.110927457617407287e+32
2.727248832679066611e+32,2.286030367858479184e+32,2.316978095128089138e+32,2.788262835224689100e+32
2.445132549416878779e+32,2.046626497657997461e+32,2.073856342818997369e+32,2.498938259227499864e+32
2.192094897393111114e+32,1.832078916021317067e+32,1.856031314928308931e+32,2.239475698399841076e+32
1.965298866208357574e+32,1.639981376997077045e+32,1.661033707933911767e+32,2.007016284963488059e+32
1.761611693850701594e+32,1.467633720588651727e+32,1.486110072389051597e+32,1.798256266438597957e+32
1.578953254197881457e+32,1.313213950514783514e+32,1.329372646447883786e+32,1.611384478519256915e+32
1.415344293898024094e+32,1.174847264614414039e+32,1.188995178410265691e+32,1.443539345433404322e+32
1.268346651358130720e+32,1.051065059801875450e+32,1.063417090114173178e+32,1.293073536502200500e+32
1.136592209406659852e+32,9.400025921789285749e+31,9.507508131418927508e+31,1.158189910959239125e+32
1.018909083711109852e+32,8.405509382697573054e+31,8.498753347594121557e+31,1.037765811931393269e+32
9.128887071825461026e+31,7.514818777986659634e+31,7.599304800675591917e+31,9.292974089751426798e+31
8.178916064194252495e+31,6.720267273725107831e+31,6.790148988942767547e+31,8.321391357028131465e+31
7.327404811015737824e+31,6.005949274689411890e+31,6.065995169438686984e+31,7.450714761046102154e+31
6.564281993071871457e+31,5.366600634290641872e+31,5.417981915905574995e+31,6.670671333760581592e+31
5.880472446019970299e+31,4.794591096325718082e+31,4.838038923142012162e+31,5.972024881909714012e+31
5.267368618024378188e+31,4.282580063217940492e+31,4.319217285536853597e+31,5.346304220490295785e+31
4.717653122884131697e+31,3.824382912259324582e+31,3.855306267584411104e+31,4.785112150759283697e+31
4.224925907310190980e+31,3.414234759786456031e+31,3.440332083239640954e+31,4.282215934761072565e+31
3.783437078319304937e+31,3.047335444939972994e+31,3.068826035664934411e+31,3.831675878158731794e+31
3.387844634499760445e+31,2.719130460587059315e+31,2.736525452420330292e+31,3.428088807894075759e+31
3.033632996130132941e+31,2.425578609497907213e+31,2.439376563447496822e+31,3.067033198674445916e+31
2.715798661028201397e+31,2.163217286339976467e+31,2.173687551078494847e+31,2.743278753833861533e+31
2.430986860044535218e+31,1.928565389215686751e+31,1.936401646378428778e+31,2.453731590414764852e+31
2.175927690622240755e+31,1.718601208038911301e+31,1.724130834737828615e+31,2.194039091896215361e+31
1.947506718064826800e+31,1.530897703334191787e+31,1.534433569571400654e+31,1.961521190628709388e+31
1.742635378688341898e+31,1.363192491322701391e+31,1.364949785894093216e+31,1.753380432265658683e+31
1.559121285518914919e+31,1.213470534448306450e+31,1.213616451794733936e+31,1.567083270966896867e+31
1.394792361536444260e+31,1.079506200277096432e+31,1.078564567956198597e+31,1.400994634561395154e+31
1.247666089289343890e+31,9.598550037935047963e+30,9.578532039750959126e+30,1.252360227354325533e+31
1.116259721259856465e+31,8.530224104530329583e+30,8.501047284336840316e+30,1.118800037084612685e+31
9.984243918036169833e+30,7.577303438791843319e+30,7.540506759157323044e+30,9.995257836715768912e+30
8.935113308795292535e+30,6.726633114413452583e+30,6.682915938924548363e+30,8.926662917316186277e+30
7.991246892982810036e+30,5.970162894362343560e+30,5.917801294800284934e+30,7.969799944479936708e+30
7.144828965174913759e+30,5.294272415891828030e+30,5.235728369688260190e+30,7.115140769359727503e+30
6.390206588239085696e+30,4.689642674321406624e+30,4.628552932573185279e+30,6.352336382476747630e+30
5.712555309312301459e+30,4.151022398122128296e+30,4.088212052701140430e+30,5.669250377527885827e+30
5.106676142907308333e+30,3.671025654999057470e+30,3.606923572339811373e+30,5.057876341041289308e+30
